product_code,product_name,txn_date,txn_nep_month,txn_nep_date,account_id,amount,channel,theater,user_type,last_txn_before_bhadra,first_active_after_bhadra,active_difference,churn_or_not,day_of_week
eSewa_QFXChhaya,QFX Chhaya Centre,2025-10-03,Ashoj,17,259516,1120.0,WEB,QFX Chhaya Centre,Old User,15/08/2025,20/08/2025,5.0,Not Churn,Friday
QFX_labim,QFX Labim,2025-10-03,Ashoj,17,259516,2880.0,WEB,QFX Labim,Old User,15/08/2025,20/08/2025,5.0,Not Churn,Friday
QFX_civil,QFX Civil,2025-10-02,Ashoj,16,259516,1760.0,WEB,QFX Civil,Old User,15/08/2025,20/08/2025,5.0,Not Churn,Thursday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-10-05,Ashoj,19,263548,5760.0,GPRS,Qfx Labim,Deleted User,29/07/2025,06/09/2025,39.0,1 Months Churn,Sunday
QFX_labim,QFX Labim,2025-09-06,Bhadra,21,263548,1920.0,WEB,QFX Labim,Deleted User,29/07/2025,06/09/2025,39.0,1 Months Churn,Saturday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-10-06,Ashoj,20,263548,1720.0,GPRS,Regal Cinemas Pvt. Ltd.,Deleted User,29/07/2025,06/09/2025,39.0,1 Months Churn,Monday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-10,Ashoj,24,267023,1040.0,GPRS,QFX Civil,Old User,15/08/2025,17/08/2025,2.0,Not Churn,Friday
QFX_labim,QFX Labim,2025-09-07,Bhadra,22,267023,1120.0,WEB,QFX Labim,Old User,15/08/2025,17/08/2025,2.0,Not Churn,Sunday
QFX_labim,QFX Labim,2025-08-26,Bhadra,10,267023,940.0,WEB,QFX Labim,Old User,15/08/2025,17/08/2025,2.0,Not Churn,Tuesday
NP-ES-QBOX,iNi Cinemas - Butwal,2025-08-26,Bhadra,10,272171,400.0,WEB,iNi Cinemas - Butwal,Old User,15/08/2025,17/08/2025,2.0,Not Churn,Tuesday
NP-ES-QBOX,iNi Cinemas - Butwal,2025-10-04,Ashoj,18,272171,660.0,WEB,iNi Cinemas - Butwal,Old User,15/08/2025,17/08/2025,2.0,Not Churn,Saturday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-09,Ashoj,23,272171,700.0,GPRS,Regal Cinemas ( Butwal),Old User,15/08/2025,17/08/2025,2.0,Not Churn,Thursday
NP-ES-QBOX,iNi Cinemas - Butwal,2025-10-05,Ashoj,19,272171,270.0,WEB,iNi Cinemas - Butwal,Old User,15/08/2025,17/08/2025,2.0,Not Churn,Sunday
NP-ES-QBOX,iNi Cinemas - Butwal,2025-08-27,Bhadra,11,285551,400.0,WEB,iNi Cinemas - Butwal,Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Wednesday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-07,Ashoj,21,285551,600.0,GPRS,Regal Cinemas ( Butwal),Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Tuesday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-29,Bhadra,13,287854,880.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,15/08/2025,25/08/2025,10.0,Not Churn,Friday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-03,Ashoj,17,287854,1320.0,GPRS,QFX Civil,Old User,15/08/2025,25/08/2025,10.0,Not Churn,Friday
QFX_labim,QFX Labim,2025-09-22,Ashoj,6,288664,2240.0,WEB,QFX Labim,Old User,16/08/2025,19/08/2025,3.0,Not Churn,Monday
NP-ES-QSCINEMA,Q's Cinema_QFX,2025-09-05,Bhadra,20,288664,780.0,WEB,Q's Cinema_QFX,Old User,16/08/2025,19/08/2025,3.0,Not Churn,Friday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-11,Ashoj,25,288664,1760.0,GPRS,QFX Civil,Old User,16/08/2025,19/08/2025,3.0,Not Churn,Saturday
QFX_labim,QFX Labim,2025-10-05,Ashoj,19,288664,3840.0,WEB,QFX Labim,Old User,16/08/2025,19/08/2025,3.0,Not Churn,Sunday
QFX_labim,QFX Labim,2025-09-26,Ashoj,10,288664,1120.0,WEB,QFX Labim,Old User,16/08/2025,19/08/2025,3.0,Not Churn,Friday
Qfx_Jalma,QFX Jalma Bharatpur,2025-09-06,Bhadra,21,288775,380.0,WEB,QFX Jalma Bharatpur,Old User,15/08/2025,27/08/2025,12.0,Not Churn,Saturday
NP-ES-MOVIES-CHITWANCINE,Chitwan Cineplex Pvt. Ltd.,2025-10-11,Ashoj,25,288775,380.0,GPRS,Chitwan Cineplex Pvt. Ltd.,Old User,15/08/2025,27/08/2025,12.0,Not Churn,Saturday
QFX_labim,QFX Labim,2025-08-29,Bhadra,13,291790,1680.0,WEB,QFX Labim,Deleted User,15/08/2025,18/08/2025,3.0,Not Churn,Friday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-10-04,Ashoj,18,291790,2400.0,GPRS,Qfx Labim,Deleted User,15/08/2025,18/08/2025,3.0,Not Churn,Saturday
NP-ES-QFXBIRGUNJ,Skyline moives (QFX Birgunj ),2025-08-18,Bhadra,2,298877,500.0,WEB,Skyline moives (QFX Birgunj ),Deleted User,03/08/2025,18/08/2025,15.0,Not Churn,Monday
NP-ES-MOVIES-QFXBIRGUNJ,Skyline moives (QFX Birgunj ),2025-10-07,Ashoj,21,298877,750.0,GPRS,Skyline moives (QFX Birgunj ),Deleted User,03/08/2025,18/08/2025,15.0,Not Churn,Tuesday
ES-1911290038,Regal Cinemas Pvt. Ltd.. ( Butwal),2025-08-17,Bhadra,1,299740,810.0,WEB,Regal Cinemas Pvt. Ltd.. ( Butwal),Deleted User,15/08/2025,17/08/2025,2.0,Not Churn,Sunday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-06,Ashoj,20,299740,660.0,GPRS,Regal Cinemas ( Butwal),Deleted User,15/08/2025,17/08/2025,2.0,Not Churn,Monday
NP-ES-CHITWANCINE,Chitwan Cineplex Pvt. Ltd.,2025-09-02,Bhadra,17,323368,640.0,WEB,Chitwan Cineplex Pvt. Ltd.,Old User,16/08/2025,19/08/2025,3.0,Not Churn,Tuesday
NP-ES-MOVIES-CHITWANCINE,Chitwan Cineplex Pvt. Ltd.,2025-10-04,Ashoj,18,323368,1280.0,GPRS,Chitwan Cineplex Pvt. Ltd.,Old User,16/08/2025,19/08/2025,3.0,Not Churn,Saturday
NP-ES-QFXBIRGUNJ,Skyline moives (QFX Birgunj ),2025-08-17,Bhadra,1,335481,800.0,WEB,Skyline moives (QFX Birgunj ),Old User,13/08/2025,17/08/2025,4.0,Not Churn,Sunday
NP-ES-MOVIES-QFXBIRGUNJ,Skyline moives (QFX Birgunj ),2025-10-09,Ashoj,23,335481,1460.0,GPRS,Skyline moives (QFX Birgunj ),Old User,13/08/2025,17/08/2025,4.0,Not Churn,Thursday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-10-04,Ashoj,18,353000,220.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,08/08/2025,21/08/2025,13.0,Not Churn,Saturday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-09-03,Bhadra,18,353000,250.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,08/08/2025,21/08/2025,13.0,Not Churn,Wednesday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-21,Bhadra,5,353000,250.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,08/08/2025,21/08/2025,13.0,Not Churn,Thursday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-09-26,Ashoj,10,353000,220.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,08/08/2025,21/08/2025,13.0,Not Churn,Friday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-26,Bhadra,10,353000,250.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,08/08/2025,21/08/2025,13.0,Not Churn,Tuesday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-09-30,Ashoj,14,353000,220.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,08/08/2025,21/08/2025,13.0,Not Churn,Tuesday
NP-ES-MOVIES-CINEM,Q's Cinemas,2025-10-10,Ashoj,24,353697,780.0,GPRS,Q's Cinemas,Old User,10/08/2025,17/08/2025,7.0,Not Churn,Friday
eSewa_BSR,BSR Movies,2025-09-16,Bhadra,31,353697,800.0,WEB,BSR Movies,Old User,10/08/2025,17/08/2025,7.0,Not Churn,Tuesday
NP-ES-MOVIES-CINEM,Q's Cinemas,2025-09-22,Ashoj,6,359085,930.0,GPRS,Q's Cinemas,Old User,12/08/2025,19/08/2025,7.0,Not Churn,Monday
NP-ES-QSCINEMA,Q's Cinema_QFX,2025-08-26,Bhadra,10,359085,600.0,WEB,Q's Cinema_QFX,Old User,12/08/2025,19/08/2025,7.0,Not Churn,Tuesday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-12,Ashoj,26,362709,1640.0,GPRS,Regal Cinemas ( Butwal),Old User,14/08/2025,21/08/2025,7.0,Not Churn,Sunday
ES-1911290038,Regal Cinemas Pvt. Ltd.. ( Butwal),2025-08-24,Bhadra,8,362709,810.0,WEB,Regal Cinemas Pvt. Ltd.. ( Butwal),Old User,14/08/2025,21/08/2025,7.0,Not Churn,Sunday
QFX_civil,QFX Civil,2025-08-26,Bhadra,10,379573,1050.0,WEB,QFX Civil,Old User,13/08/2025,26/08/2025,13.0,Not Churn,Tuesday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-08,Ashoj,22,379573,660.0,GPRS,QFX Civil,Old User,13/08/2025,26/08/2025,13.0,Not Churn,Wednesday
QFX_civil,QFX Civil,2025-10-02,Ashoj,16,379573,2200.0,WEB,QFX Civil,Old User,13/08/2025,26/08/2025,13.0,Not Churn,Thursday
QFX_labim,QFX Labim,2025-08-23,Bhadra,7,391620,2880.0,WEB,QFX Labim,Old User,08/06/2025,17/08/2025,70.0,2 Months Churn,Saturday
QFX_civil,QFX Civil,2025-09-20,Ashoj,4,391620,1710.0,WEB,QFX Civil,Old User,08/06/2025,17/08/2025,70.0,2 Months Churn,Saturday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-09-27,Ashoj,11,391620,2880.0,GPRS,Qfx Labim,Old User,08/06/2025,17/08/2025,70.0,2 Months Churn,Saturday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-10-11,Ashoj,25,393034,2240.0,GPRS,Qfx Labim,Old User,12/08/2025,19/08/2025,7.0,Not Churn,Saturday
QFX_labim,QFX Labim,2025-08-25,Bhadra,9,393034,1560.0,WEB,QFX Labim,Old User,12/08/2025,19/08/2025,7.0,Not Churn,Monday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-27,Bhadra,11,393250,1000.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Deleted User,16/08/2025,18/08/2025,2.0,Not Churn,Wednesday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-10-07,Ashoj,21,393250,500.0,GPRS,Regal Cinemas Pvt. Ltd.,Deleted User,16/08/2025,18/08/2025,2.0,Not Churn,Tuesday
QFX_labim,QFX Labim,2025-08-23,Bhadra,7,393250,960.0,WEB,QFX Labim,Deleted User,16/08/2025,18/08/2025,2.0,Not Churn,Saturday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-12,Ashoj,26,397458,1040.0,GPRS,QFX Civil,Old User,15/08/2025,02/09/2025,18.0,Not Churn,Sunday
NP-ES-QFXDURBAR,QFX Durbar Cinemax,2025-09-04,Bhadra,19,397458,2800.0,WEB,QFX Durbar Cinemax,Old User,15/08/2025,02/09/2025,18.0,Not Churn,Thursday
NP-ES-ONECINEMA,One Cinema- Baneshwor ( Ticket Purchase),2025-08-30,Bhadra,14,402826,1800.0,WEB,One Cinema- Baneshwor ( Ticket Purchase),Old User,08/07/2025,30/08/2025,53.0,2 Months Churn,Saturday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-10-01,Ashoj,15,402826,2200.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,08/07/2025,30/08/2025,53.0,2 Months Churn,Wednesday
eSewa_MidTown,MIDTOWN CINEMAS,2025-09-16,Bhadra,31,410170,400.0,WEB,MIDTOWN CINEMAS,Old User,22/07/2025,30/08/2025,39.0,1 Months Churn,Tuesday
NP-ES-MOVIES-QFXPKR,QFX Cinemas,2025-09-24,Ashoj,8,410170,400.0,GPRS,QFX Cinemas,Old User,22/07/2025,30/08/2025,39.0,1 Months Churn,Wednesday
QFX_civil,QFX Civil,2025-09-04,Bhadra,19,415268,880.0,WEB,QFX Civil,Old User,16/08/2025,17/08/2025,1.0,Not Churn,Thursday
NP-ES-MOVIES-QFXPKR,QFX Cinemas,2025-10-02,Ashoj,16,415268,585.0,GPRS,QFX Cinemas,Old User,16/08/2025,17/08/2025,1.0,Not Churn,Thursday
QFX_labim,QFX Labim,2025-09-19,Ashoj,3,415268,1120.0,WEB,QFX Labim,Old User,16/08/2025,17/08/2025,1.0,Not Churn,Friday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-10-09,Ashoj,23,437507,590.0,GPRS,Regal Cinemas Pvt. Ltd.,Deleted User,10/08/2025,19/08/2025,9.0,Not Churn,Thursday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-20,Bhadra,4,437507,990.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Deleted User,10/08/2025,19/08/2025,9.0,Not Churn,Wednesday
ES-1911290038,Regal Cinemas Pvt. Ltd.. ( Butwal),2025-08-25,Bhadra,9,448842,800.0,WEB,Regal Cinemas Pvt. Ltd.. ( Butwal),Old User,31/07/2025,20/08/2025,20.0,Not Churn,Monday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-04,Ashoj,18,448842,660.0,GPRS,Regal Cinemas ( Butwal),Old User,31/07/2025,20/08/2025,20.0,Not Churn,Saturday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-09-30,Ashoj,14,451648,3080.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,14/08/2025,21/08/2025,7.0,Not Churn,Tuesday
FCUBECINEMAS,FCube Cinemas,2025-08-27,Bhadra,11,451648,2640.0,WEB,FCube Cinemas,Old User,14/08/2025,21/08/2025,7.0,Not Churn,Wednesday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-09-30,Ashoj,14,455937,1120.0,GPRS,Qfx Labim,Old User,16/08/2025,18/08/2025,2.0,Not Churn,Tuesday
bigmovies,Bigmovies,2025-08-26,Bhadra,10,455937,600.0,WEB,Bigmovies,Old User,16/08/2025,18/08/2025,2.0,Not Churn,Tuesday
NP-ES-QSCINEMA,Q's Cinema_QFX,2025-10-14,Ashoj,28,457328,800.0,WEB,Q's Cinema_QFX,Old User,15/08/2025,18/08/2025,3.0,Not Churn,Tuesday
NP-ES-OCULARH,Ocular Holding,2025-08-18,Bhadra,2,457328,400.0,WEB,Ocular Holding,Old User,15/08/2025,18/08/2025,3.0,Not Churn,Monday
